genes	logFC	logCPM	LR	PValue	FDR
AC107464.3	0.742787968038999	4.10001457505402	0.583716408540052	0.444859283302883	1
AC024592.1	0.752200030446432	4.04966886425428	0.583264795485331	0.445035463162046	1
AC009133.4	0.400387095438035	5.03049674000772	0.583227266382266	0.445050108590734	1
AC009511.2	0.552123292354987	4.40482720984735	0.583141393586214	0.445083622560917	1
AL162497.1	0.588246910766098	4.31224955837305	0.58270569620063	0.445253724393721	1
GAS5	0.202275151512089	11.58543223484	0.582628634105212	0.44528382089697	1
AP003068.1	0.236125622473725	7.13963897286389	0.582426430845359	0.445362806101373	1
AC125603.2	-0.542844752000194	4.43158424009761	0.582413942628634	0.445367684994969	1
IL20RB-AS1	0.669669294999774	3.89374025295935	0.581883687517808	0.445574921341798	1
AF111169.3	0.380415875109734	5.15887577779554	0.581857438483929	0.445585183970311	1
AP001627.1	-0.681805298898228	3.91002261528511	0.580298261997729	0.446195435499639	1
AC211476.2	-0.581002341968307	4.35050946904859	0.579569663649195	0.446481048485124	1
ITGB1-DT	0.428746006886088	7.89162312655164	0.577791917484042	0.447179122605863	1
AC135178.1	0.7657862041751	3.94898369062257	0.577760348891022	0.44719153406952	1
PAXIP1-AS1	-0.202765076174294	9.51293422972403	0.577376427174835	0.447342519020963	1
AC090907.1	-0.599671898345478	4.25297848319628	0.576907018873325	0.447527230921326	1
DCST1-AS1	-0.289531908393221	5.9551146591692	0.576297915243384	0.447767089575841	1
AC025754.2	0.562144401069376	4.35400319461311	0.576170221350651	0.447817399433632	1
AC069200.1	0.670624807810407	3.89807723068253	0.575896932085001	0.447925101650518	1
AC109449.1	0.425168312103406	4.88615030506165	0.575569448485808	0.448054214694457	1
MIR503HG	-0.238428421712573	8.34640086088635	0.575467844077998	0.448094284813234	1
DLGAP1-AS2	0.253583974767863	7.99395324266668	0.575130672292445	0.448227296482858	1
TMEM44-AS1	-0.208867206429435	8.48729215374794	0.574512223081928	0.448471429633138	1
AL445472.1	-0.589440573710794	4.28461517134866	0.5730474133636	0.449050490307441	1
AP001781.1	-0.257537535870711	10.725382332444	0.572767728441363	0.449161186210054	1
B3GALT5-AS1	-0.428441688724879	4.81085356169529	0.572508225328747	0.449263932420109	1
AC025431.1	0.592833465069303	4.31861077626852	0.571644451646911	0.449606194108333	1
TTC39C-AS1	-0.386475322180007	5.07445106062027	0.571640522459788	0.449607751937888	1
AC024575.1	0.265621922420265	6.34708264367306	0.571145702776089	0.449804003494348	1
AC113189.4	0.485831267529741	4.58378226288446	0.570798043534339	0.449941969321049	1
AC016251.2	-0.651686114414329	3.86458203270997	0.570714312617508	0.449975207136566	1
AC211433.1	0.373869338804318	5.19409043459078	0.570670944133582	0.449992424190709	1
AL137002.1	0.288049288665837	6.20701475475512	0.570388808060031	0.450104455781975	1
AC124319.2	0.313196335425554	5.74039457150795	0.569885947704691	0.450304241281513	1
AC015909.1	-0.744283458770139	3.94766295555843	0.569828890127901	0.450326918893479	1
AC005480.1	0.418449662939362	4.89544894139551	0.569597462664923	0.450418918334197	1
FAM66B	-0.632592832393182	4.20782816867212	0.56954675017877	0.450439082005093	1
AC005410.2	-0.692208006918494	4.12727607801905	0.569491302685041	0.450461129963577	1
AC006330.1	0.354624692551216	5.3308199886789	0.569485896155058	0.450463279888461	1
AL606760.2	0.229188058287663	7.88840381526186	0.569469635817327	0.450469745963131	1
UBE2R2-AS1	-0.617225699046312	4.26396494711346	0.569417467056539	0.450490492334657	1
AC091564.6	0.322374500573256	5.61529883810895	0.569357615963753	0.450514295638294	1
AL139021.2	-0.743682498450832	3.94840640859065	0.56912017153476	0.450608748716399	1
AC093726.2	-0.411938866114972	4.87043529350374	0.568774429167007	0.450746336957288	1
AC006213.3	-0.733168536070788	3.94831257120256	0.568429578956467	0.450883635528977	1
LINC02211	0.892114098613574	3.98759375179475	0.568317778115674	0.450928161908261	1
AC004889.1	0.427973297971411	4.87101591589041	0.567322200875793	0.451324968798402	1
