Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
IRI11	0	0.000851801193806318	0.0543584077545684	0	0	0.151542053346341	0	0	0	0	0.0736910174386524	0	0.198702685499902	0.154531003279696	0.0325601382386349	0.234625405421589	0	0	0.00118811475819062	0.0135533100877334	0	0.084396062980886	0.317	0.0523180909242636	1.07379269826798
IRI12	0.0325259984234008	0	0	0	0	0.182152100815261	0.00537717236919026	0.0187962364735014	0	0	0.120804990158898	0	0.295454111419343	0.142519268085788	0	0.00690547952666411	0	0	0	0.0251689744963425	0	0.170295668231611	0.194	0.0797910642757108	1.08054319211176
IRI13	0.0212481272025673	0	0.00832301767572902	0.0010810061226305	0	0.0656576531911085	0.018456958958123	0	0	0	0.0643308926646178	0	0.338213169253803	0.175572085800546	0.0230310920248571	0.0951456521558263	0	0	0	0.0146254918342765	0.0537431683919451	0.12057168472397	0.0679999999999999	0.139778795877189	1.05472013807927
IRI14	0.00862590734854327	0	0.00136260067660066	0	0	0.189036446632213	0.000744268106691992	0	0.00308089519753152	0	0.0500341443575738	0.0146081426781715	0.264348744666781	0.257876756258162	0.0126195616606037	0.0837562960027895	0	0	0.03531076884134	0	0	0.078595467572997	0.132	0.105901973120801	1.05965554513824
IRI15	0.00127889156008843	0	0.00955461344703095	0	0	0.00640398082259672	0.0173027699895221	0	0	0	0.064211321049306	0	0.0359810077293948	0.299027452049419	0	0	0	0	0	4.60491818838781e-05	0	0.566193914170758	0	0.641365712354514	0.784772852394887
IRI16	0	0	0.00159448270700941	0	0	0.00593717558183964	0.0178187324319672	0.0295618239152045	0	0	0.0397646370787682	0.00684985065408814	0.280202779820993	0.229292589284339	0.0139290323285148	0.18073542700366	0	0	0.0500821985224099	0	0.11640933704072	0.0278219336304855	0.102	0.117274302972291	1.05952110170023
IRI17	0.00272565924850538	0	0.000653272975594474	0	0	0.25305774466472	0.000623928849948351	0.026073087624516	0.0172592882009219	0.0306398842882138	0.026618769853794	0	0.0923444426230361	0.250839431933773	0.00977128404853238	0	0	0	0	0.0517362152349339	0	0.23765699045351	0.044	0.165273452914324	1.04796241731985
IRI18	0.0278366804493162	0	0.00154566806716395	0	0	0.152717488877858	0.0155199271545956	0	8.3793162250702e-05	0	0.0709879215309788	0	0.297836490280266	0.248600405839192	0.0239318633490904	0.037490954088417	0	0	0.0424296263306079	0	0	0.0810191808702641	0.115	0.111620269714618	1.05512996347805
IRI19	0.0151231331468462	0	0.00382912464858678	0	0	0.114999121009282	0.0523994032709657	0	0	0	0.07885486281503	0	0.239399464531649	0.165121243400784	0.0149719135653285	0.0796064599024994	0	0	0.0243176866575853	0	0.045424354102775	0.165953232948668	0.099	0.119697897306049	1.05505402838752
IRI20	0.00993400349367123	0	0	0	0	0.142758043358347	0.00341902084014265	0.00186551984334688	0	0	0.0601979440793471	0	0.145389987182701	0.410152125238219	0.00212719402298645	0.0650781351861857	0	0	0.0045403353984486	0	0	0.154537691356604	0.092	0.125200410579598	1.08140202048596
IRI21	0.0262424866738556	0	0	0	0	0.215851890401158	0	0.0309079340624815	0.00313638785776827	0	0.109846056077013	0.00825183536273996	0.11874812963686	0.286646568844032	0.00316086637430858	0.0747800141102862	0	0	0	0.0161291738270718	0	0.106298656772426	0.187	0.0824804260637079	1.06984820918728
IRI22	0.0133693697230918	0	0.00447064199686172	0.0180799856574299	0	0.0670639772273324	0.00952095812451468	0	0	0	0.0469660145202334	0	0.381265069566491	0.20291860406721	0.0248926541950232	0.140449104178895	0	0	0.0306430850242797	0	0.0259444570612247	0.0344160786574126	0.139	0.102052372057212	1.06820537672606
IRI23	0.0259261139317886	0	0.000548092480206269	0.0397161302149246	0	0.0755534621454216	0	0.00215956276011329	0	0	0.0512946016739401	0	0.278852075336647	0.119871639634758	0.00756575816129293	0.321664548787455	0	0	0.0322644710835428	0	0	0.0445835437899098	0.33	0.0490693947775929	1.0859200457732
